start_station_name,ride_count
Canal St & Madison St,22974
State St & Chicago Ave,21642
Wells St & Concord Ln,19681
Wells St & Elm St,19657
Clinton St & Jackson Blvd,19626
Clinton St & Madison St,19531
Wells St & Huron St,18136
Clark St & Elm St,17593
Clinton St & Washington Blvd,17564
Wells St & Hubbard St,16873
